"measure","location","sex","age","metric","year","val","upper","lower","age_cat","age_gp_1","age_gp_2","tot_pop","weight"
"Population","Uganda","Female",0,"Number",2019,744763.047222476,814272.791638586,670607.317982566,"<1 year","0 years","<0 years",744763.047222476,1
"Population","Uganda","Female",1,"Number",2019,725668.514303429,793396.140087448,653414.019312974,"12-23 months","1 year","1 year",725668.514303429,1
"Population","Uganda","Female",2,"Number",2019,707295.892877149,773308.77700695,636870.751726141,"2","2 years","2-4 years",2068314.30278214,0.341967317020314
"Population","Uganda","Female",3,"Number",2019,689388.155143255,753729.685843806,620746.079566789,"3","3 years","2-4 years",2068314.30278214,0.333309185270316
"Population","Uganda","Female",4,"Number",2019,671630.254761733,734314.416556174,604756.325520497,"4","4 years","2-4 years",2068314.30278214,0.32472349770937
"Population","Uganda","Female",5,"Number",2019,653531.123548036,714526.068900403,588459.316845997,"5","5-9 years","5-9 years",3108841.76970087,0.210216914195321
"Population","Uganda","Female",6,"Number",2019,636889.253845753,696330.990947622,573474.470794781,"6","5-9 years","5-9 years",3108841.76970087,0.204863837089732
"Population","Uganda","Female",7,"Number",2019,620969.25204123,678925.153801693,559139.616572053,"7","5-9 years","5-9 years",3108841.76970087,0.199742958323987
"Population","Uganda","Female",8,"Number",2019,605728.199087038,662261.632722331,545416.108561072,"8","5-9 years","5-9 years",3108841.76970087,0.194840472419837
"Population","Uganda","Female",9,"Number",2019,591723.94117881,646950.338446538,532806.248456978,"9","5-9 years","5-9 years",3108841.76970087,0.190335817971123
"Population","Uganda","Female",10,"Number",2019,578986.659143733,633024.268619001,521337.211995267,"10","10-14 years","10-14 years",2768644.16013945,0.209122814509529
"Population","Uganda","Female",11,"Number",2019,566506.668129375,619379.503131797,510099.848200437,"11","10-14 years","10-14 years",2768644.16013945,0.204615196234117
"Population","Uganda","Female",12,"Number",2019,553917.148195636,605614.986242745,498763.861232583,"12","10-14 years","10-14 years",2768644.16013945,0.200068017468788
"Population","Uganda","Female",13,"Number",2019,541095.325874459,591596.485869646,487218.702123897,"13","10-14 years","10-14 years",2768644.16013945,0.195436933956585
"Population","Uganda","Female",14,"Number",2019,528138.358796243,577430.2274962,475551.854562225,"14","10-14 years","10-14 years",2768644.16013945,0.19075703783098
"Population","Uganda","Female",15,"Number",2019,514933.258866755,562992.677696232,463661.580628212,"15","15-19 years","15-19 years",2416705.89964347,0.213072372166891
"Population","Uganda","Female",16,"Number",2019,500036.555274362,546705.644571229,450248.135264439,"16","15-19 years","15-19 years",2416705.89964347,0.206908319025551
"Population","Uganda","Female",17,"Number",2019,483843.098155621,529000.830156051,435667.053552928,"17","15-19 years","15-19 years",2416705.89964347,0.200207686929138
"Population","Uganda","Female",18,"Number",2019,467321.404777682,510937.144746814,420790.417922266,"18","15-19 years","15-19 years",2416705.89964347,0.19337123513731
"Population","Uganda","Female",19,"Number",2019,450571.582569048,492624.038933979,405708.368148304,"19","15-19 years","15-19 years",2416705.89964347,0.186440386741109
"Population","Uganda","Female",20,"Number",2019,433734.016340624,474214.999833087,390547.310988034,"20","20-24 years","20-24 years",2012241.87319677,0.215547654642315
"Population","Uganda","Female",21,"Number",2019,417664.495504806,456645.688842061,376077.825278234,"21","20-24 years","20-24 years",2012241.87319677,0.207561775285631
"Population","Uganda","Female",22,"Number",2019,402430.265876402,439989.62791873,362360.461197491,"22","20-24 years","20-24 years",2012241.87319677,0.199991000702652
"Population","Uganda","Female",23,"Number",2019,387086.893748724,423214.238078769,348544.821888151,"23","20-24 years","20-24 years",2012241.87319677,0.192365986865075
"Population","Uganda","Female",24,"Number",2019,371326.201726218,405982.579312691,334353.415042472,"24","20-24 years","20-24 years",2012241.87319677,0.184533582504327
"Population","Uganda","Female",25,"Number",2019,355556.944064471,388741.555464654,320154.295434485,"25","25-29 years","25-29 years",1640205.5847491,0.216775840401044
"Population","Uganda","Female",26,"Number",2019,341041.264204824,372871.107533696,307083.935437874,"26","25-29 years","25-29 years",1640205.5847491,0.207925925491221
"Population","Uganda","Female",27,"Number",2019,327883.125394855,358484.901798167,295235.946725351,"27","25-29 years","25-29 years",1640205.5847491,0.199903675760872
"Population","Uganda","Female",28,"Number",2019,314757.697518316,344134.459951812,283417.411932996,"28","25-29 years","25-29 years",1640205.5847491,0.19190136922163
"Population","Uganda","Female",29,"Number",2019,300966.55356663,329056.169846913,270999.44612247,"29","25-29 years","25-29 years",1640205.5847491,0.183493189125233
"Population","Uganda","Female",30,"Number",2019,286604.482279121,313353.666984283,258067.399959989,"30","30-34 years","30-34 years",1297046.88815816,0.220966940282404
"Population","Uganda","Female",31,"Number",2019,272685.710607389,298135.83749128,245534.514265402,"31","30-34 years","30-34 years",1297046.88815816,0.210235815757293
"Population","Uganda","Female",32,"Number",2019,259269.632164828,283467.618267719,233454.268856124,"32","30-34 years","30-34 years",1297046.88815816,0.199892258739388
"Population","Uganda","Female",33,"Number",2019,245743.108502706,268678.645822593,221274.575209248,"33","30-34 years","30-34 years",1297046.88815816,0.189463550428519
"Population","Uganda","Female",34,"Number",2019,232743.954604113,254466.263275658,209569.74135036,"34","30-34 years","30-34 years",1297046.88815816,0.179441434792397
"Population","Uganda","Female",35,"Number",2019,220546.811577706,241130.744362404,198587.062493651,"35","35-39 years","35-39 years",1004144.16367796,0.219636601551207
"Population","Uganda","Female",36,"Number",2019,209683.924934854,229254.009789017,188805.788698879,"36","35-39 years","35-39 years",1004144.16367796,0.208818546698343
"Population","Uganda","Female",37,"Number",2019,200048.165994199,218718.932409137,180129.4580404,"37","35-39 years","35-39 years",1004144.16367796,0.199222555117451
